statename,stateabbrev,name,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,id,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimates (as of July 1) - 2010,Population Estimates (as of July 1) - 2011,,norm1,norm2,norm3,norm4,norm5,norm6,norm7,norm8,norm9,norm10
Alabama,AL,"Cullman, AL",12652,12788,12974,13079,13187,13529,13233,14050,14681,15164,1043,80406,80406,80496,80536,,0.157351441,0.159042857,0.161356118,0.16266199,0.164005174,0.168258588,0.16457727,0.174738204,0.182585877,0.188592891
Alabama,AL,"Dale, AL",8975,9130,9261,9494,9795,10123,7160,7522,7699,8012,1045,50251,50251,50343,50044,,0.178603411,0.181687927,0.18429484,0.188931564,0.194921494,0.201448727,0.142484727,0.149688563,0.153210881,0.159439613
Alabama,AL,"Dallas, AL",8500,8534,8595,8627,8617,8726,7831,8297,8545,8653,1047,43820,43820,43792,43332,,0.193975354,0.194751255,0.196143314,0.196873574,0.196645367,0.199132816,0.178708352,0.189342766,0.195002282,0.19746691
Alabama,AL,"DeKalb, AL",9923,10005,10153,10221,10470,10762,10973,11527,11904,12218,1049,71109,71109,71122,71375,,0.13954633,0.14069949,0.142780801,0.14373708,0.147238746,0.151345118,0.154312394,0.16210325,0.16740497,0.171820726
Alabama,AL,"Elmore, AL",8529,8668,8913,9242,9640,9959,9285,10048,10715,11286,1051,79303,79303,79590,80162,,0.107549525,0.109302296,0.112391713,0.116540358,0.121559084,0.12558163,0.117082582,0.126703908,0.135114687,0.142314919
Alabama,AL,"Escambia, AL",6152,6207,6167,6288,6408,6540,6374,6624,6907,7133,1053,38319,38319,38295,38095,,0.160546987,0.161982306,0.160938438,0.16409614,0.167227746,0.170672512,0.166340458,0.172864636,0.180250007,0.186147864
Alabama,AL,"Etowah, AL",19069,19168,19311,19387,19585,19773,19306,20323,20820,21197,1055,104430,104430,104440,104303,,0.182600785,0.183548789,0.184918127,0.185645887,0.187541894,0.189342143,0.184870248,0.194608829,0.199367998,0.202978071
Alabama,AL,"Fayette, AL",3159,3133,3130,3187,3214,3275,3633,3816,3976,4054,1057,17241,17241,17250,17182,,0.183226031,0.181717998,0.181543994,0.184850067,0.186416101,0.189954179,0.210718636,0.221332869,0.230613073,0.235137173
Alabama,AL,"Franklin, AL",5888,5935,5975,6022,6118,6191,5611,5869,6035,6065,1059,31704,31704,31723,31884,,0.18571789,0.187200353,0.188462024,0.189944487,0.192972496,0.195275044,0.176980823,0.185118597,0.190354529,0.191300782
Alabama,AL,"Geneva, AL",4950,4987,5007,5109,5219,5291,5124,5352,5529,5689,1061,26790,26790,26828,26781,,0.184770437,0.186151549,0.186898096,0.190705487,0.194811497,0.197499067,0.191265398,0.199776036,0.206382979,0.212355356
Alabama,AL,"Greene, AL",1734,1743,1750,1760,1746,1748,1677,1810,1876,1926,1063,9045,9045,9005,8921,,0.191708126,0.192703151,0.193477059,0.194582642,0.193034826,0.193255943,0.185406302,0.200110558,0.207407407,0.212935323
Alabama,AL,"Hale, AL",3024,3039,3028,3101,3119,3183,2675,2800,2914,3013,1065,15760,15760,15736,15421,,0.191878173,0.192829949,0.19213198,0.196763959,0.197906091,0.201967005,0.169733503,0.177664975,0.184898477,0.191180203
Alabama,AL,"Henry, AL",2939,2972,3007,3050,3117,3214,3121,3245,3384,3498,1067,17302,17302,17308,17412,,0.169864756,0.171772049,0.173794937,0.176280199,0.180152584,0.185758872,0.180383771,0.187550572,0.195584326,0.202173159
Alabama,AL,"Houston, AL",11197,11377,11521,11732,12008,12317,14852,15733,16594,17270,1069,101547,101547,101769,102369,,0.110264213,0.112036791,0.113454853,0.115532709,0.118250662,0.121293588,0.146257398,0.154933184,0.163412016,0.170069032
Alabama,AL,"Jackson, AL",8679,8904,9138,9320,9486,9722,9311,9604,9923,10192,1071,53227,53226,53175,53291,,0.163056344,0.167283522,0.171679787,0.175099104,0.178217822,0.182651662,0.174930017,0.180434742,0.186427941,0.191481767
Alabama,AL,"Jefferson, AL",110289,110187,110359,110624,110814,111509,100982,105005,106167,108170,1073,658466,658466,658386,658931,,0.167493842,0.167338936,0.167600149,0.1680026,0.168291149,0.169346633,0.153359475,0.15946913,0.161233837,0.164275756
Alabama,AL,"Lamar, AL",3225,3249,3276,3305,3313,3350,3166,3296,3375,3474,1075,14564,14564,14520,14311,,0.221436419,0.223084317,0.224938204,0.226929415,0.227478715,0.230019225,0.217385334,0.226311453,0.231735787,0.23853337
Alabama,AL,"Lauderdale, AL",15042,15255,15419,15627,15850,16302,15815,16623,17278,17720,1077,92709,92709,92727,92781,,0.16224962,0.164547131,0.166316107,0.168559687,0.170965063,0.175840533,0.170587537,0.17930298,0.186368098,0.191135704
Alabama,AL,"Lawrence, AL",4263,4287,4354,4405,4470,4600,5288,5683,5898,6079,1079,34339,34339,34328,34117,,0.124144559,0.124843472,0.126794607,0.128279798,0.13017269,0.133958473,0.153994001,0.165496957,0.171758059,0.177029034
Alabama,AL,"Lee, AL",10115,10319,10539,10786,11109,11506,11919,12925,13616,14216,1081,140247,140247,140784,143468,,0.072122755,0.073577331,0.075145992,0.076907171,0.07921025,0.082040971,0.084985775,0.092158834,0.097085856,0.101364022
Alabama,AL,"Limestone, AL",7617,7777,8069,8313,8561,8802,9426,10112,10716,11170,1083,82782,82782,83239,85369,,0.092012756,0.093945544,0.097472881,0.100420381,0.103416202,0.106327462,0.113865333,0.122152159,0.129448431,0.134932715
Alabama,AL,"Lowndes, AL",1669,1718,1743,1786,1820,1833,2025,2129,2174,2222,1085,11299,11299,11270,11147,,0.147712187,0.152048854,0.154261439,0.158067086,0.161076201,0.162226746,0.1792194,0.188423754,0.192406408,0.196654571
Alabama,AL,"Macon, AL",3557,3541,3583,3601,3606,3643,3523,3684,3795,3828,1087,21452,21452,21535,21182,,0.165812045,0.165066194,0.167024054,0.167863136,0.168096215,0.169820996,0.164227112,0.171732239,0.176906582,0.1784449
Alabama,AL,"Madison, AL",31828,32777,34110,35132,36453,37859,36525,39314,41561,43367,1089,334811,334811,336141,340111,,0.095062588,0.097897022,0.101878373,0.104930842,0.108876351,0.113075735,0.109091398,0.117421471,0.12413272,0.129526808
Alabama,AL,"Marengo, AL",3500,3532,3579,3587,3658,3678,3983,4165,4414,4476,1091,21027,21029,20980,20692,,0.166452656,0.167974509,0.17020973,0.170590194,0.173966805,0.174917963,0.189423123,0.198078661,0.209920578,0.212869168
Alabama,AL,"Marion, AL",5474,5528,5610,5671,5759,5903,5739,6043,6179,6283,1093,30776,30776,30781,30663,,0.17786587,0.179620483,0.182284897,0.184266961,0.187126332,0.191805303,0.186476475,0.196354302,0.20077333,0.204152586
Alabama,AL,"Marshall, AL",15078,15322,15422,15541,15630,15769,14159,15115,15798,16217,1095,93019,93019,93203,94166,,0.162095916,0.164719036,0.165794085,0.167073394,0.168030187,0.169524506,0.152216214,0.162493684,0.16983627,0.174340726
Alabama,AL,"Mobile, AL",56168,56706,57159,57775,58406,59320,56880,60155,62400,63844,1097,412992,412990,413116,412577,,0.136002634,0.137305323,0.138402197,0.139893751,0.141421626,0.143634744,0.137726639,0.145656574,0.151092515,0.154588951
Alabama,AL,"Monroe, AL",3766,3785,3832,3862,3911,3924,3883,4030,4182,4292,1099,23068,23070,22987,22760,,0.163256459,0.164080111,0.166117565,0.167418068,0.169542223,0.170105774,0.16832842,0.174700884,0.181290099,0.186058609
Alabama,AL,"Montgomery, AL",30457,30826,31053,31418,31692,31873,29578,31503,32457,33058,1101,229363,229363,229706,232032,,0.132789508,0.134398312,0.135388009,0.136979373,0.138173986,0.138963128,0.128957155,0.137349965,0.141509311,0.144129611
Alabama,AL,"Morgan, AL",16458,16700,16945,17298,17640,18130,17007,18107,19059,19678,1103,119490,119490,119606,119953,,0.137735375,0.139760649,0.14181103,0.144765252,0.147627417,0.151728178,0.142329902,0.151535693,0.159502887,0.164683237
Alabama,AL,"Perry, AL",2025,2033,2022,2036,2025,2025,2092,2255,2303,2349,1105,10591,10586,10542,10373,,0.191200076,0.191955434,0.190916816,0.192238693,0.191200076,0.191200076,0.197526201,0.212916627,0.217448777,0.221792088
Alabama,AL,"Pickens, AL",3850,3878,3927,3969,4002,4076,4001,4152,4262,4323,1107,19746,19746,19723,19349,,0.194976198,0.196394206,0.198875722,0.201002735,0.202673959,0.206421554,0.202623316,0.210270435,0.215841183,0.218930416
Alabama,AL,"Pike, AL",4818,4819,4902,4945,5037,5097,4670,4881,5007,5075,1109,32899,32899,32970,32915,,0.14644822,0.146478616,0.149001489,0.15030852,0.153104958,0.154928721,0.141949603,0.148363172,0.152193076,0.154260008
Alabama,AL,"Randolph, AL",4016,4038,4050,4128,4152,4226,4189,4377,4496,4608,1111,22913,22913,22929,22787,,0.17527168,0.176231833,0.176755554,0.180159735,0.181207175,0.184436783,0.182821979,0.191026928,0.196220486,0.201108541
Alabama,AL,"Russell, AL",8134,8213,8325,8447,8505,8650,7766,8264,8576,8727,1113,52947,52947,53207,54572,,0.153625323,0.155117382,0.157232704,0.159536895,0.16063233,0.163370918,0.146674977,0.156080609,0.161973294,0.164825203
Alabama,AL,"St. Clair, AL",7335,7486,7699,7973,8286,8567,9503,10406,11201,11709,1115,83593,83598,83835,84398,,0.087746582,0.089552953,0.092101013,0.0953788,0.099123132,0.102484658,0.113681768,0.124484108,0.133994473,0.140071537
Alabama,AL,"Shelby, AL",10671,11043,11613,12126,12701,13296,16350,17906,19815,20784,1117,195085,195080,195858,197936,,0.054699234,0.056606095,0.059527898,0.062157521,0.065104954,0.068154907,0.083809621,0.091785632,0.10157111,0.106538176
Alabama,AL,"Sumter, AL",2436,2447,2450,2490,2488,2520,2368,2516,2657,2684,1119,13763,13763,13758,13478,,0.176996294,0.177795539,0.178013514,0.180919858,0.18077454,0.183099615,0.172055511,0.182808981,0.19305384,0.195015622
Alabama,AL,"Talladega, AL",13498,13661,13777,13988,14054,14335,13809,14630,15269,15515,1121,82291,82291,82027,81664,,0.164027658,0.166008433,0.167418065,0.169982137,0.170784168,0.17419888,0.167806929,0.177783719,0.185548845,0.188538236
Alabama,AL,"Tallapoosa, AL",7141,7201,7284,7308,7375,7557,7836,8176,8417,8649,1123,41616,41618,41534,41623,,0.171592657,0.17303441,0.175028835,0.175605536,0.177215494,0.181588812,0.188292964,0.196462899,0.202253941,0.20782872
Alabama,AL,"Tuscaloosa, AL",21973,22174,22426,22782,23013,23273,23256,24767,25977,26758,1125,194656,194653,194998,197211,,0.112881185,0.113913776,0.115208368,0.117037235,0.118223944,0.119559633,0.1194723,0.127234711,0.133450806,0.137463012
Alabama,AL,"Walker, AL",13936,14047,14274,14453,14669,14871,13544,14130,14576,15090,1127,67023,67023,67000,66661,,0.207928622,0.209584769,0.212971666,0.215642391,0.218865166,0.221879056,0.202079883,0.21082315,0.217477582,0.225146591
Alabama,AL,"Washington, AL",2676,2739,2779,2826,2906,2974,2877,3104,3267,3353,1129,17581,17583,17610,17344,,0.152209772,0.155793186,0.158068369,0.16074171,0.165292077,0.169159889,0.163642569,0.176554235,0.185825607,0.190717252
Alabama,AL,"Wilcox, AL",2476,2467,2448,2487,2507,2527,2404,2520,2584,2600,1131,11670,11664,11603,11482,,0.212167952,0.211396744,0.209768638,0.21311054,0.214824336,0.216538132,0.205998286,0.215938303,0.221422451,0.222793488
Alabama,AL,"Winston, AL",4420,4475,4524,4594,4680,4794,4512,4708,4947,5080,1133,24484,24484,24395,24327,,0.180526058,0.182772423,0.18477373,0.18763274,0.191145238,0.19580134,0.184283614,0.192288842,0.202050319,0.207482438
Alaska,AK,"Aleutians East, AK",0,0,0,0,0,0,75,79,91,91,2013,3141,3141,3155,3172,,0,0,0,0,0,0,0.023877746,0.025151226,0.028971665,0.028971665
Alaska,AK,"Aleutians West, AK",179,190,200,205,207,217,135,131,128,133,2016,5561,5561,5545,5504,,0.032188455,0.034166517,0.035964755,0.036863873,0.037223521,0.039021759,0.024276209,0.023556914,0.023017443,0.023916562
Alaska,AK,"Anchorage, AK",15376,16091,16913,17780,18642,19363,18949,20149,21338,22452,2020,291826,291826,293356,295570,,0.052688931,0.055139021,0.057955768,0.060926717,0.063880532,0.066351182,0.064932528,0.069044568,0.073118913,0.076936257
Alaska,AK,"Bethel, AK",663,692,714,719,725,744,916,933,960,989,2050,17013,17013,17105,17416,,0.038970199,0.040674778,0.041967907,0.0422618,0.042614471,0.043731264,0.05384118,0.054840416,0.056427438,0.058132017
Alaska,AK,"Bristol Bay, AK",216,221,224,262,326,412,100,109,101,106,2060,997,997,1003,1030,,0.21664995,0.221664995,0.224674022,0.262788365,0.326980943,0.413239719,0.100300903,0.109327984,0.101303912,0.106318957
Alaska,AK,"Denali, AK",0,0,0,0,0,0,94,106,121,127,2068,1826,1826,1835,1855,,0,0,0,0,0,0,0.051478642,0.058050383,0.06626506,0.069550931
Alaska,AK,"Dillingham, AK",356,374,381,392,403,400,296,316,330,364,2070,4847,4847,4874,4975,,0.073447493,0.077161131,0.078605323,0.080874768,0.083144213,0.082525273,0.061068702,0.065194966,0.068083351,0.075097999
Alaska,AK,"Fairbanks North Star, AK",4406,4631,4817,4967,5087,5233,5359,5711,6116,6426,2090,97581,97581,98279,99192,,0.045152233,0.047458009,0.049364118,0.050901303,0.05213105,0.053627243,0.054918478,0.058525738,0.062676136,0.065852984
Alaska,AK,"Haines, AK",280,297,295,296,301,312,303,341,350,363,2100,2508,2508,2508,2554,,0.111642743,0.118421053,0.117623604,0.118022329,0.120015949,0.124401914,0.120813397,0.135964912,0.139553429,0.144736842
Alaska,AK,"Hoonah-Angoon, AK",303,328,345,358,366,391,300,319,336,368,2105,2150,2150,2153,2112,,0.140930233,0.15255814,0.160465116,0.166511628,0.170232558,0.181860465,0.139534884,0.148372093,0.15627907,0.171162791
Alaska,AK,"Juneau, AK",2324,2414,2488,2598,2748,2869,2464,2605,2682,2852,2110,31275,31275,31409,32164,,0.074308553,0.077186251,0.079552358,0.083069544,0.087865707,0.091734612,0.078784972,0.083293365,0.085755396,0.091191047
Alaska,AK,"Kenai Peninsula, AK",3983,4193,4434,4673,4870,5092,5046,5489,5923,6302,2122,55400,55400,55575,56293,,0.071895307,0.075685921,0.080036101,0.084350181,0.087906137,0.091913357,0.091083032,0.099079422,0.106913357,0.113754513
Alaska,AK,"Ketchikan Gateway, AK",1209,1233,1265,1296,1330,1372,1367,1423,1498,1540,2130,13477,13477,13531,13593,,0.089708392,0.091489204,0.093863619,0.096163835,0.098686651,0.101803072,0.101432069,0.105587297,0.111152334,0.114268754
Alaska,AK,"Kodiak Island, AK",356,413,439,434,421,416,782,833,882,906,2150,13592,13592,13640,13872,,0.026191878,0.030385521,0.032298411,0.031930547,0.030974102,0.030606239,0.057533843,0.061286051,0.064891112,0.066656857
Alaska,AK,"Lake and Peninsula, AK",0,0,0,0,0,0,126,118,120,127,2164,1631,1631,1634,1668,,0,0,0,0,0,0,0.077253219,0.072348253,0.073574494,0.07786634
Alaska,AK,"Matanuska-Susitna, AK",3526,3744,4052,4268,4576,4983,5404,5955,6426,6853,2170,88995,88995,89772,91946,,0.039620203,0.042069779,0.045530648,0.04795775,0.051418619,0.05599191,0.060722513,0.066913872,0.072206304,0.077004326
Alaska,AK,"Nome, AK",506,536,537,559,560,565,554,581,626,622,2180,9492,9492,9571,9856,,0.053308049,0.056468605,0.056573957,0.058891698,0.05899705,0.05952381,0.058364939,0.06120944,0.065950274,0.065528866
Alaska,AK,"North Slope, AK",283,306,319,323,344,360,361,370,383,404,2185,9430,9430,9472,9503,,0.030010604,0.032449629,0.033828208,0.034252386,0.036479321,0.038176034,0.038282078,0.039236479,0.040615058,0.042841994
Alaska,AK,"Northwest Arctic, AK",352,366,375,377,389,399,400,422,434,456,2188,7523,7523,7553,7733,,0.046789844,0.048650804,0.049847135,0.050112987,0.051708095,0.053037352,0.053170278,0.056094643,0.057689751,0.060614117
Alaska,AK,"Petersburg, AK",650,662,680,691,696,728,697,748,787,819,2195,3815,3815,3826,3838,,0.170380079,0.173525557,0.178243775,0.18112713,0.182437746,0.190825688,0.182699869,0.196068152,0.206290957,0.214678899
Alaska,AK,"Prince of Wales-Hyder, AK",364,384,407,438,454,475,460,488,547,581,2198,5559,5559,5597,5737,,0.065479403,0.069077172,0.073214607,0.078791149,0.081669365,0.085447023,0.082748696,0.087785573,0.098398993,0.104515201
Alaska,AK,"Sitka, AK",703,724,754,758,789,843,840,881,924,968,2220,8881,8881,8912,8952,,0.079157753,0.081522351,0.084900349,0.085350749,0.088841347,0.094921743,0.094583943,0.09920054,0.104042338,0.108996735
Alaska,AK,"Skagway, AK",0,0,0,0,0,0,0,0,0,0,2230,968,968,965,935,,0,0,0,0,0,0,0,0,0,0
Alaska,AK,"Southeast Fairbanks, AK",424,437,459,496,520,536,595,648,724,765,2240,7029,7029,7065,7132,,0.060321525,0.062171006,0.065300896,0.070564803,0.073979229,0.076255513,0.08464931,0.092189501,0.103001849,0.108834827
Alaska,AK,"Valdez-Cordova, AK",647,656,697,717,734,748,757,826,875,919,2261,9636,9636,9689,9770,,0.067144043,0.068078041,0.072332918,0.074408468,0.076172686,0.077625571,0.078559568,0.085720216,0.090805313,0.095371523
Alaska,AK,"Wade Hampton, AK",362,384,389,403,431,428,413,436,456,466,2270,7459,7459,7469,7662,,0.048531975,0.051481432,0.052151763,0.05402869,0.057782545,0.057380346,0.055369352,0.058452876,0.0611342,0.062474863
Alaska,AK,"Wrangell, AK",0,0,0,0,0,0,0,0,0,0,2275,2369,2369,2377,2382,,0,0,0,0,0,0,0,0,0,0
Alaska,AK,"Yakutat, AK",0,0,0,0,0,0,44,65,65,70,2282,662,662,659,646,,0,0,0,0,0,0,0.066465257,0.098187311,0.098187311,0.105740181
Alaska,AK,"Yukon-Koyukuk, AK",620,658,699,702,736,766,562,578,587,599,2290,5588,5588,5617,5656,,0.11095204,0.117752326,0.125089477,0.125626342,0.131710809,0.137079456,0.100572656,0.103435934,0.105046528,0.107193987
Arizona,AZ,"Apache, AZ",6048,6250,6456,6616,6836,7186,6764,7363,7983,8412,4001,71518,71518,71634,72401,,0.084566123,0.087390587,0.090270981,0.09250818,0.095584328,0.100478201,0.094577589,0.102953103,0.111622249,0.117620739
Arizona,AZ,"Cochise, AZ",17406,17627,18078,18658,19189,19894,19745,21012,22009,22854,4003,131346,131346,131723,133289,,0.132520214,0.134202793,0.137636472,0.142052289,0.146095047,0.151462549,0.150328141,0.159974419,0.167565057,0.173998447
Arizona,AZ,"Coconino, AZ",12063,12388,12836,13311,13799,14208,10738,11552,11864,12723,4005,134421,134418,134606,134511,,0.089740442,0.092158219,0.095491032,0.099024706,0.102655091,0.10569777,0.079883352,0.085938953,0.088260019,0.094650389
Arizona,AZ,"Gila, AZ",10786,10930,11097,11280,11535,11660,11268,11755,12471,12655,4007,53597,53597,53505,53144,,0.201242607,0.203929324,0.20704517,0.210459541,0.21521727,0.21754949,0.210235648,0.219321977,0.232680934,0.236113962
Arizona,AZ,"Graham, AZ",4138,4170,4188,4202,4349,4413,4179,4387,4563,4632,4009,37220,37220,37116,37147,,0.111176787,0.112036539,0.11252015,0.112896292,0.116845782,0.118565287,0.112278345,0.117866738,0.122595379,0.124449221
Arizona,AZ,"Greenlee, AZ",1065,1049,1023,1066,1057,1067,1015,1045,1058,1101,4011,8437,8437,8351,8606,,0.126229703,0.124333294,0.12125163,0.126348228,0.125281498,0.126466754,0.120303425,0.123859192,0.125400024,0.130496622
Arizona,AZ,"La Paz, AZ",3414,3455,3554,3664,3690,3801,3793,4060,4274,4390,4012,20489,20489,20471,20419,,0.166625994,0.168627068,0.173458929,0.178827664,0.180096637,0.185514178,0.185123725,0.198155108,0.208599736,0.214261311
Arizona,AZ,"Maricopa, AZ",352944,355749,363705,371011,379422,390110,392716,415547,427074,443377,4013,3817117,3817117,3824834,3880244,,0.092463501,0.093198348,0.095282644,0.097196654,0.099400149,0.102200168,0.102882883,0.108864098,0.111883917,0.116154941
Arizona,AZ,"Mohave, AZ",31346,31913,33275,34461,35992,37838,38370,40765,42544,43888,4015,200186,200186,201567,202351,,0.156584377,0.159416742,0.166220415,0.172144905,0.179792793,0.189014217,0.191671745,0.203635619,0.212522354,0.21923611
Arizona,AZ,"Navajo, AZ",10338,10686,11020,11444,12017,12559,12440,13341,14485,15065,4017,107449,107449,107568,107398,,0.096213087,0.099451833,0.102560284,0.106506343,0.111839105,0.116883359,0.115775856,0.12416123,0.134808142,0.140206051
Arizona,AZ,"Pima, AZ",122079,123255,126234,128729,131572,134558,130054,139200,143118,148957,4019,980263,980263,982108,989569,,0.124536987,0.125736665,0.128775645,0.13132088,0.134221122,0.137267244,0.132672558,0.142002707,0.145999594,0.151956159
Arizona,AZ,"Pinal, AZ",23740,24042,25169,25692,26161,26803,30023,33224,36036,39051,4021,375770,375770,384236,382992,,0.063176943,0.063980626,0.066979801,0.06837161,0.069619714,0.071328206,0.079897278,0.088415786,0.095899087,0.103922612
Arizona,AZ,"Santa Cruz, AZ",4476,4600,4733,4857,4974,5129,4983,5358,5732,6005,4023,47420,47420,47465,47676,,0.094390553,0.097005483,0.099810207,0.102425137,0.10489245,0.108161113,0.105082244,0.112990299,0.120877267,0.126634332
Arizona,AZ,"Yavapai, AZ",33502,34156,35327,36317,37694,39042,42124,45088,48099,49465,4025,211033,211033,211144,211888,,0.158752423,0.161851464,0.167400359,0.172091569,0.178616614,0.185004241,0.199608592,0.213653789,0.227921699,0.234394621
Arizona,AZ,"Yuma, AZ",17562,17758,18570,19150,19760,20451,20081,21695,22988,23638,4027,195751,195750,196830,200870,,0.089716017,0.090717289,0.094865416,0.097828364,0.100944567,0.104474562,0.102584406,0.110829574,0.117434905,0.12075545
Arkansas,AR,"Arkansas, AR",3933,3906,3915,3903,3877,3841,3460,3611,3736,3792,5001,19019,19019,18994,18892,,0.206793207,0.205373574,0.205846785,0.205215837,0.203848783,0.201955939,0.18192334,0.189862769,0.196435144,0.199379568
Arkansas,AR,"Ashley, AR",4211,4186,4190,4172,4182,4263,3993,4179,4311,4419,5003,21853,21853,21840,21692,,0.192696655,0.191552647,0.191735688,0.190912003,0.191369606,0.195076191,0.182720908,0.191232325,0.197272686,0.202214799
